run_name,seed,epoch,loss,gb_weight,tau_h,lr,recall@20,ndcg@20,recall@40,ndcg@40,best_primary,best_epoch
DGBRec_seed2025,2025,5,0.0635759395857652,0.1,0.3767513661826855,0.004253317046975582,0.19910467309375018,0.1269513801120434,0.28504208202410164,0.15100585402881114,0.1269513801120434,5
DGBRec_seed2025,2025,10,0.04549807641241285,0.2,0.37324818433227175,0.004248410512266353,0.21049556154430882,0.13322026969353748,0.304194102691362,0.1596749107658434,0.13322026969353748,10
DGBRec_seed2025,2025,15,0.03838192392140627,0.3,0.36974500248185804,0.004240241360984236,0.2180192843140325,0.1374852221299715,0.316163285246038,0.1650031224180766,0.1374852221299715,15
DGBRec_seed2025,2025,20,0.035568090052240424,0.4,0.3662418206314442,0.004228822189368396,0.22595264712812269,0.14268622980991963,0.3246521208333684,0.1704287338263295,0.14268622980991963,20
DGBRec_seed2025,2025,25,0.034400701108906,0.5,0.3627386387810306,0.004214170604953787,0.2311536103300443,0.14595861767746984,0.33015298281550065,0.17378878823679217,0.14595861767746984,25
DGBRec_seed2025,2025,30,0.03420639571009411,0.6,0.3592354569306168,0.004196309199421608,0.23347685159165255,0.14666006467826134,0.33607573438337707,0.17541865503299678,0.14666006467826134,30
DGBRec_seed2025,2025,35,0.033841901251839265,0.7,0.35573227508020305,0.00417526551376457,0.23974400422846562,0.1518057377321478,0.3398295810830359,0.18002884217421292,0.1518057377321478,35
DGBRec_seed2025,2025,40,0.03396127554070619,0.8,0.3522290932297893,0.004151071995820678,0.24221124602500152,0.1531654703829843,0.34296656851023455,0.1816843003717717,0.1531654703829843,40
DGBRec_seed2025,2025,45,0.034191669792764716,0.9,0.3487259113793756,0.004123765950241021,0.24360538183050914,0.15392481567088892,0.34544948075904985,0.18273316910080367,0.15392481567088892,45
DGBRec_seed2025,2025,50,0.034592702312188015,1.0,0.3452227295289618,0.004093389480968699,0.24408568139545173,0.15451031837386825,0.3462394320328935,0.183311145629533,0.15451031837386825,50
DGBRec_seed2025,2025,55,0.0342651576631599,1.0,0.3417195476785481,0.004059989426317602,0.24665085171459175,0.1570707522843927,0.34912792248737273,0.1860020568230452,0.1570707522843927,55
DGBRec_seed2025,2025,60,0.03398805484175682,1.0,0.3382163658281343,0.004023617286751119,0.2484687469761912,0.1579957345750284,0.3499181022289027,0.18666870596872623,0.1579957345750284,60
DGBRec_seed2025,2025,65,0.03383189770910475,1.0,0.33471318397772065,0.003984329145472154,0.24844266996845232,0.15803565638967842,0.3505026455026937,0.1869037282550071,0.15803565638967842,65
DGBRec_seed2025,2025,70,0.033698469762586884,1.0,0.3312100021273069,0.003942185581946898,0.2497299637360094,0.1584193659364054,0.3503818183675851,0.18688736917036455,0.1584193659364054,70
DGBRec_seed2025,2025,75,0.03364788984052009,1.0,0.32770682027689313,0.0038972515784956806,0.2505979223455801,0.15793926648751824,0.35333755857408783,0.1868969846572527,0.1584193659364054,70
DGBRec_seed2025,2025,80,0.03354030749243167,1.0,0.32420363842647937,0.003849596420094943,0.249247127493816,0.15928498100024394,0.35118474033859265,0.18798325103738098,0.15928498100024394,80
DGBRec_seed2025,2025,85,0.0334869853945242,1.0,0.32070045657606566,0.0037992935875448236,0.25055639980104594,0.15948842791793585,0.3529882924272424,0.1882988700648497,0.15948842791793585,85
DGBRec_seed2025,2025,90,0.03342059383996659,1.0,0.3171972747256519,0.0037464206441670932,0.24905223883938107,0.15874027327219528,0.35430466688240836,0.18822053067934058,0.15948842791793585,85
DGBRec_seed2025,2025,95,0.03332069402353631,1.0,0.3136940928752382,0.0036910591162081325,0.25102926373981294,0.1600788046563495,0.3530491669322698,0.18895177949292247,0.1600788046563495,95
DGBRec_seed2025,2025,100,0.033221769612282515,1.0,0.3101909110248244,0.0036332943671313705,0.25209744732814204,0.16064809270689323,0.3521718967303044,0.18886632881543186,0.16064809270689323,100
DGBRec_seed2025,2025,105,0.033182243454373546,1.0,0.30668772917441073,0.003573215465993011,0.2510028002343011,0.1596083131722867,0.35333145076091205,0.18834327011067217,0.16064809270689323,100
DGBRec_seed2025,2025,110,0.03315927543573909,1.0,0.30318454732399697,0.0035109150501040033,0.25254926520891,0.1618656323999217,0.3543844484438991,0.19053507863068117,0.1618656323999217,110
DGBRec_seed2025,2025,115,0.03301986441430119,1.0,0.2996813654735832,0.0034464891821900253,0.25233516747742035,0.1613305104757799,0.3533007553155185,0.18982665893881526,0.1618656323999217,110
DGBRec_seed2025,2025,120,0.03300153691735533,1.0,0.29617818362316944,0.00338003720226972,0.2527125759098118,0.1622179007083281,0.35519232347673096,0.19112674736359767,0.1622179007083281,120
DGBRec_seed2025,2025,125,0.032959078386839896,1.0,0.29267500177275574,0.0033116615744795876,0.25324648895404017,0.162643748940686,0.3573647596181804,0.1920223423694041,0.162643748940686,125
DGBRec_seed2025,2025,130,0.03293821282891764,1.0,0.289171819922342,0.0032414677290817174,0.25427456727446857,0.16313292151479106,0.3559881611114372,0.19186580568514494,0.16313292151479106,130
DGBRec_seed2025,2025,135,0.03290417521364159,1.0,0.28566863807192827,0.003169563899897961,0.25458277012723723,0.16354185229145832,0.35550535902039604,0.19205238790948626,0.16354185229145832,135
DGBRec_seed2025,2025,140,0.032853925238466926,1.0,0.2821654562215145,0.0030960609574212264,0.2538922157176406,0.16356361144330414,0.35649229674221466,0.1924325568415465,0.16356361144330414,140
DGBRec_seed2025,2025,145,0.032766125734067626,1.0,0.27866227437110075,0.0030210722378612134,0.2542363711746394,0.16304855185043177,0.3563264270753788,0.1919124810693452,0.16356361144330414,140
DGBRec_seed2025,2025,150,0.032745022119747266,1.0,0.27515909252068704,0.0029447133683881926,0.25690897684556546,0.16527125255589326,0.3583073750416468,0.1937951773890339,0.16527125255589326,150
DGBRec_seed2025,2025,155,0.03273385359595219,1.0,0.2716559106702733,0.00286710208884429,0.2546918574730875,0.16401556629703412,0.3570494113148292,0.19287051587708745,0.16527125255589326,150
DGBRec_seed2025,2025,160,0.03266305528167221,1.0,0.2681527288198595,0.0027883580701971848,0.25562451343079773,0.16469854975895365,0.35873670940223723,0.1937052419269955,0.16527125255589326,150
DGBRec_seed2025,2025,165,0.03270433677567376,1.0,0.2646495469694458,0.00270860273001615,0.2557606650303056,0.16432910346108734,0.3582193350311029,0.19328877133484162,0.16527125255589326,150
DGBRec_seed2025,2025,170,0.03257967893862062,1.0,0.2611463651190321,0.002627959045254962,0.2575387219130768,0.1651317133671082,0.35936676899131437,0.1939419879873441,0.16527125255589326,150
DGBRec_seed2025,2025,175,0.03252258125899567,1.0,0.25764318326861835,0.002546551362630353,0.2581310253153593,0.16598163117383855,0.35948701508544717,0.19476831854438775,0.16598163117383855,175
